Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance (in KM)
21.0,4.8,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,14,2.992439854305071
39.0,4.9,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,30,7.335684979628153
23.0,4.8,Stormy,Low,1,scooter,1.0,No,Metropolitian,15,3.1380694073889375
35.0,4.8,Fog,Medium,2,scooter,1.0,No,Urban,16,6.276138627413788
39.0,4.6,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,36,13.944598794232533
22.0,4.7,Sunny,High,1,scooter,1.0,No,Urban,18,6.071959804867507
32.0,4.6,Fog,Medium,1,scooter,0.0,No,Metropolitian,17,6.071422120848535
24.0,4.8,Sandstorms,Low,1,motorcycle,1.0,No,Urban,15,12.552275755914394
29.0,4.7,Fog,Low,0,motorcycle,1.0,No,Metropolitian,17,3.1380694073889375
,,,,1,scooter,0.0,No,Metropolitian,19,6.1983397369141935
26.0,4.7,Fog,Low,1,motorcycle,0.0,No,Metropolitian,10,9.204061108012812
20.0,4.5,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,27,7.845173108613388
35.0,4.1,Sandstorms,Jam,1,motorcycle,2.0,No,Metropolitian,37,13.942135995521298
39.0,4.6,Fog,Jam,1,scooter,2.0,No,Metropolitian,44,13.945658037651098
34.0,4.7,Windy,High,2,electric_scooter,1.0,No,Metropolitian,28,6.049848888721861
27.0,4.7,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,42,17.04433026158702
30.0,4.8,Windy,Low,1,motorcycle,1.0,No,Metropolitian,25,17.259376716936664
25.0,4.4,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,39,17.039320664078645
25.0,4.7,Stormy,Medium,0,motorcycle,0.0,No,Urban,20,16.790293751513897
30.0,5.0,Stormy,High,1,motorcycle,1.0,No,Metropolitian,31,2.976038261804114
24.0,4.6,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,13,9.204543446314432
39.0,4.8,Stormy,Jam,1,motorcycle,,No,Metropolitian,28,7.648215327844156
25.0,4.8,Windy,High,1,scooter,1.0,No,Urban,19,6.164026189217134
37.0,4.6,Fog,Low,0,motorcycle,2.0,Yes,Urban,42,12.189899417672075
24.0,5.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23,1.5496181081271545
25.0,4.2,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,39,16.872927418719993
32.0,4.6,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,25,1.507218847377163
34.0,4.7,Sandstorms,Low,1,scooter,0.0,No,Metropolitian,15,6019.211230800505
38.0,4.9,Cloudy,Low,2,scooter,1.0,No,Urban,15,3.020706639820848
36.0,4.8,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,15,13.391515800864783
25.0,5.0,Stormy,Jam,1,motorcycle,,No,Metropolitian,15,16.695945260595646
29.0,5.0,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,18,7.756832982430433
36.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,29,13.750484667228939
33.0,4.7,Fog,Low,0,motorcycle,0.0,No,Metropolitian,20,7.774259486970199
36.0,4.4,Cloudy,High,2,scooter,1.0,No,Metropolitian,39,6.2054267911859675
21.0,4.8,Windy,Low,0,motorcycle,0.0,No,Metropolitian,19,16.824024800777703
25.0,4.8,Cloudy,Low,1,scooter,1.0,No,Urban,19,4.601882860108752
23.0,4.8,Windy,Low,0,motorcycle,0.0,No,Metropolitian,17,19.846613904419858
25.0,4.6,Stormy,Low,2,motorcycle,1.0,No,Urban,15,1.55490238236473
24.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Urban,19,3.020916215301368
27.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,29,13.94442758388673
23.0,4.8,Cloudy,Low,2,scooter,1.0,No,Urban,22,16.80256330471995
21.0,4.3,Fog,Jam,1,scooter,0.0,No,Metropolitian,42,20.16747676677057
27.0,4.7,Sandstorms,Low,2,scooter,0.0,No,Urban,12,3.035902790349682
32.0,4.2,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,38,20.212460530271784
25.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,23,16.6952795873628
39.0,4.7,Cloudy,Low,1,scooter,0.0,No,Metropolitian,15,2.980982302644137
27.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,24,12.142518774381282
39.0,3.8,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,37,16.79399979607481
31.0,4.8,Sandstorms,Low,1,scooter,0.0,No,Metropolitian,24,7.747259356563763
31.0,4.8,Sunny,Low,2,electric_scooter,0.0,No,Metropolitian,13,9.043027721349308
20.0,4.8,Cloudy,Low,0,motorcycle,0.0,No,,16,1.5514770796415485
36.0,4.9,Cloudy,Medium,0,motorcycle,1.0,No,Urban,42,12.056953151950662
20.0,4.9,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,17,13.561204009757525
24.0,4.6,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,25,4.464417671579878
,,,,3,electric_scooter,0.0,No,Metropolitian,25,16.635116893700506
39.0,4.2,Fog,Medium,1,scooter,0.0,No,Metropolitian,39,16.610672955997153
37.0,4.8,Sunny,High,2,scooter,0.0,No,Metropolitian,18,6.219419664894865
32.0,4.9,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,28,6.196805343667927
22.0,4.5,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,18,7.4519201744257
23.0,4.9,Windy,Low,1,scooter,0.0,No,Metropolitian,18,20.212460530271784
33.0,4.7,Fog,Jam,1,scooter,1.0,No,Metropolitian,49,16.577488524535227
23.0,,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,15,4.53364788897892
27.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,21,12.396712257294284
34.0,4.7,Sunny,High,2,scooter,0.0,No,Metropolitian,23,6.108440050157439
26.0,5.0,Fog,Low,2,scooter,1.0,No,Urban,11,1.5180601842214017
31.0,4.6,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,25,9.0744717731442
32.0,4.9,Fog,Low,2,motorcycle,0.0,No,Metropolitian,18,3.059241752280784
27.0,4.7,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,14,3.020731790895242
21.0,4.9,Windy,Medium,0,motorcycle,2.0,No,Metropolitian,36,13.945658037651098
28.0,4.8,Fog,Low,1,motorcycle,,No,Metropolitian,18,7.747793362638613
24.0,4.9,Fog,Medium,1,scooter,1.0,No,Urban,17,6.276138627413788
33.0,4.4,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,28,1.534129114265342
20.0,4.6,Fog,Jam,0,motorcycle,0.0,Yes,Metropolitian,44,13.945629461520332
31.0,4.3,Windy,Low,0,motorcycle,1.0,No,Metropolitian,20,9.329319541894728
,,Stormy,Low,2,scooter,0.0,No,,19,4.588712137571156
36.0,5.0,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,35,10.586720360323753
31.0,4.2,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,50,17.042634005428827
39.0,4.1,Stormy,Jam,1,scooter,1.0,No,Metropolitian,34,9.204512751051547
29.0,4.6,Sunny,Jam,2,electric_scooter,,No,Metropolitian,17,12.142670416282547
29.0,4.6,Sandstorms,High,1,scooter,0.0,No,Urban,23,6.071413761024368
37.0,4.9,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,27,4.6646029783419385
33.0,4.7,Cloudy,High,0,motorcycle,0.0,No,Urban,26,6.276138627413788
31.0,3.9,Cloudy,Low,1,scooter,1.0,No,Metropolitian,35,10.69100092566136
37.0,4.6,Windy,High,0,motorcycle,1.0,No,Urban,41,6.276138627413788
26.0,4.4,Sandstorms,Low,0,motorcycle,0.0,No,,23,9.296531667508525
24.0,4.6,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,30,17.10252275797518
23.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,19,3.1380694073889375
36.0,4.9,Windy,Low,1,scooter,1.0,No,Metropolitian,27,1.5690347154047224
39.0,4.8,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,28,6.205591081602371
20.0,4.7,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,24,12.438452034187614
20.0,5.0,Cloudy,Jam,0,motorcycle,1.0,No,Urban,36,20.166286848244525
29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,28,9.067759514408273
36.0,4.8,Fog,Medium,2,motorcycle,1.0,No,Urban,31,17.103104604488404
36.0,4.0,Sunny,Jam,0,motorcycle,3.0,No,Metropolitian,44,13.611105169020725
22.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,15,12.056968418188383
38.0,4.4,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,33,10.704957546119868
39.0,4.9,Fog,Jam,0,motorcycle,0.0,No,Metropolitian,30,7.5891604266055
24.0,4.9,Stormy,Medium,1,scooter,1.0,No,Metropolitian,22,7.551948584727422
30.0,4.1,Fog,Low,0,motorcycle,0.0,No,Metropolitian,43,10.983241696284244
35.0,4.8,Fog,Medium,0,motorcycle,3.0,No,Metropolitian,48,13.804873199406153
33.0,4.5,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,19,13.941657178556436
39.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Urban,21,10.900635211617388
31.0,4.3,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,44,12.099040609550999
37.0,4.5,Windy,Low,2,scooter,0.0,No,Metropolitian,26,1.5495096221395899
37.0,4.7,Windy,Low,1,scooter,1.0,No,Metropolitian,26,4.654256824131882
33.0,5.0,Windy,High,1,motorcycle,1.0,No,Metropolitian,31,1.5269331229160865
24.0,4.6,Stormy,Low,2,scooter,1.0,No,Urban,19,9.414207472710387
33.0,4.5,Sunny,Jam,1,scooter,0.0,No,Metropolitian,18,11.902924672837507
39.0,4.7,Fog,Medium,2,motorcycle,1.0,No,Metropolitian,38,10.472797742862058
37.0,4.6,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,32,13.563852221699795
25.0,4.9,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,17,7.6696078159334125
28.0,4.8,Fog,Medium,1,scooter,1.0,No,Urban,11,9.177365744557306
38.0,4.7,Windy,High,2,motorcycle,1.0,No,Metropolitian,31,6.205474967025106
,,Sandstorms,Medium,0,motorcycle,0.0,No,Metropolitian,43,10.41513064614557
31.0,4.6,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,25,9.308258482124039
25.0,4.8,Cloudy,Jam,2,motorcycle,1.0,No,Metropolitian,22,9.164099415262326
35.0,4.9,Fog,Jam,0,motorcycle,3.0,No,Metropolitian,43,10.858950700039365
39.0,4.7,Fog,Jam,0,motorcycle,1.0,Yes,Metropolitian,42,10.550295445173377
38.0,3.9,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,42,12.082423061297098
35.0,4.7,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,34,4.647989333607506
29.0,4.7,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,17,2.977717993714077
27.0,4.6,Stormy,Jam,1,scooter,0.0,No,Metropolitian,25,4.5541509794301644
38.0,4.3,Sandstorms,Jam,0,motorcycle,1.0,Yes,Semi-Urban,54,13.962004343954739
36.0,4.9,Windy,Low,2,motorcycle,0.0,No,Metropolitian,21,10.625702124383546
26.0,4.0,Cloudy,High,1,motorcycle,,No,Metropolitian,34,6.136519522327368
26.0,4.1,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,36,13.41246037752413
36.0,4.9,Sunny,Medium,1,motorcycle,0.0,No,Metropolitian,17,9.308662119355633
21.0,4.7,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,16,1.4880598281970034
35.0,4.7,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,27,12.39395555693745
20.0,4.5,Fog,High,2,motorcycle,1.0,No,Metropolitian,26,6.20545250887856
23.0,4.6,Fog,Jam,0,motorcycle,2.0,Yes,Metropolitian,46,13.764250249667594
37.0,5.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,29,9.066849655818128
26.0,4.8,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,23,9.297076456518703
29.0,5.0,Sandstorms,Low,1,scooter,,No,Urban,11,12.142486110300185
26.0,4.9,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,28,16.612635818204165
29.0,4.8,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,25,9.177225998300312
29.0,4.7,Sandstorms,Low,2,motorcycle,0.0,No,Metropolitian,11,3.013958870983999
21.0,4.9,Windy,Medium,1,scooter,1.0,No,Metropolitian,26,4.391724962431039
22.0,4.3,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,23,3.1028522086456105
31.0,4.0,Fog,Medium,1,motorcycle,2.0,No,Metropolitian,39,11.902753837483976
20.0,4.5,Fog,Low,1,motorcycle,0.0,No,,11,3.1098846908757523
30.0,3.9,Stormy,Jam,2,electric_scooter,,No,Metropolitian,32,12.09895659021292
36.0,4.8,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,43,10.846831683112223
24.0,4.7,Fog,Medium,1,scooter,,No,Metropolitian,13,6.205738534229064
32.0,4.7,Windy,Low,2,electric_scooter,0.0,No,Metropolitian,25,1.5513238067891462
25.0,5.0,Windy,Medium,1,motorcycle,0.0,No,Metropolitian,27,9.294705791241629
27.0,4.5,Windy,Medium,2,scooter,1.0,No,Metropolitian,29,6.136227883482838
32.0,4.1,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,33,10.845889966900735
23.0,4.7,Fog,Medium,1,motorcycle,1.0,No,Urban,19,6.19703893141132
39.0,4.4,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,33,20.14112443663039
20.0,4.8,Fog,Jam,1,motorcycle,1.0,No,Metropolitian,28,9.414207472710387
20.0,4.8,Windy,Medium,2,electric_scooter,0.0,No,,15,11.905861749702474
29.0,4.6,Stormy,Jam,1,scooter,1.0,No,Metropolitian,29,4.488577625714156
26.0,4.9,Stormy,Low,2,scooter,1.0,No,Metropolitian,18,20.827572697496162
25.0,5.0,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,14,1.557337963675556
34.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,30,6.1983397369141935
31.0,4.9,Sunny,High,0,motorcycle,0.0,No,Metropolitian,28,6.163798689174008
24.0,4.7,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,39,20.397442775188328
30.0,4.9,Cloudy,Medium,2,motorcycle,0.0,No,Metropolitian,30,13.805626960611738
36.0,4.8,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,36,19.351082464681973
36.0,4.4,Fog,Low,0,motorcycle,,No,Metropolitian,37,20.832850885766774
26.0,4.7,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,43,20.827407215134496
30.0,4.6,Sunny,Low,2,scooter,1.0,No,,29,16.635239139962547
20.0,4.8,Stormy,Medium,2,scooter,1.0,No,Metropolitian,25,4.707104052532131
33.0,4.7,Fog,Medium,2,electric_scooter,1.0,No,Urban,15,7.747301749382407
,,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,24,10.983241696284244
34.0,4.0,Windy,Jam,0,motorcycle,2.0,No,Metropolitian,39,13.743748712643285
36.0,4.6,Windy,Low,0,motorcycle,1.0,No,Metropolitian,20,12.271931674507936
33.0,4.6,Fog,Low,1,motorcycle,1.0,No,Metropolitian,15,2.9810670001645105
22.0,4.8,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,16,16.760840661943323
38.0,4.7,Sunny,Low,2,scooter,1.0,No,Metropolitian,19,1.5294048118807104
27.0,4.9,Fog,Low,2,scooter,0.0,No,Metropolitian,20,12.396903135321155
32.0,4.8,Sunny,Jam,2,scooter,1.0,No,Metropolitian,25,10.432310169081864
26.0,4.8,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,43,12.396259636749217
29.0,4.5,Windy,Low,0,motorcycle,0.0,No,Urban,15,19.630777254614774
31.0,4.5,Sunny,Jam,0,motorcycle,0.0,No,Urban,29,12.43875210831113
28.0,4.6,Stormy,High,2,motorcycle,0.0,No,Metropolitian,14,6.135383422532994
21.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,11,8.91888668509988
21.0,4.0,Sandstorms,Low,0,motorcycle,,No,Metropolitian,19,7.774458242271917
30.0,4.9,Windy,Low,1,motorcycle,1.0,No,Metropolitian,29,12.552275755914394
29.0,4.7,Cloudy,Medium,2,motorcycle,1.0,No,Urban,11,5.984484703060141
20.0,4.8,Sunny,High,1,motorcycle,0.0,No,Metropolitian,14,1.527154370684199
28.0,5.0,Windy,Low,0,motorcycle,0.0,No,Urban,15,13.713493498525082
25.0,4.7,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,16,10.687630840937123
,,,,3,motorcycle,1.0,Yes,Urban,43,16.82376113749127
38.0,4.8,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,20,3.0986894979955277
39.0,4.9,Stormy,Low,1,motorcycle,1.0,No,Metropolitian,26,4.60191950861356
26.0,4.9,Windy,Medium,1,scooter,0.0,No,Metropolitian,26,9.107880591147303
33.0,4.4,Windy,Jam,1,motorcycle,0.0,No,Urban,43,10.883781468541267
24.0,4.6,Sandstorms,Medium,0,motorcycle,1.0,No,Urban,25,9.074511964797063
24.0,4.9,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,28,6.2195799756053045
33.0,4.5,Stormy,Low,2,scooter,0.0,No,Metropolitian,17,13.59174349203564
35.0,4.2,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,44,13.591608297249033
27.0,4.2,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,33,13.740852946326266
,,Cloudy,Medium,1,scooter,1.0,No,Urban,19,7.746079097377241
29.0,4.5,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,15,4.64841181693955
34.0,4.7,Fog,Low,1,scooter,1.0,No,Metropolitian,27,19.321445595986216
20.0,4.7,Cloudy,High,2,scooter,1.0,No,Metropolitian,25,2.9809448604624884
29.0,4.8,Sunny,High,1,motorcycle,1.0,No,Metropolitian,18,6.049870868802052
22.0,4.9,Stormy,Medium,2,scooter,0.0,No,Metropolitian,21,9.074580779980996
35.0,4.9,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,53,10.405169702130612
32.0,4.4,Sandstorms,Jam,0,motorcycle,3.0,No,Metropolitian,42,17.129275527672867
28.0,4.9,Sunny,Jam,2,motorcycle,1.0,No,Metropolitian,20,16.10037667090034
30.0,4.7,Fog,Low,1,scooter,0.0,No,Metropolitian,29,20.21236367487059
22.0,4.7,Stormy,Jam,2,scooter,0.0,No,Urban,15,17.042634005428827
36.0,4.7,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,30,7.774458242271917
23.0,4.8,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,28,19.731429221614068
22.0,4.8,Stormy,Low,2,motorcycle,1.0,No,,19,3.0206490444019702
29.0,4.5,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,15,19.807161975395392
34.0,4.9,Sandstorms,Jam,0,motorcycle,3.0,Yes,Urban,50,17.04198395713032
38.0,4.1,Stormy,High,0,motorcycle,1.0,Yes,Metropolitian,41,1.5496365009021704
35.0,5.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,37,10.983241696284244
38.0,4.7,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,28,9.414207472710387
32.0,4.3,Cloudy,Medium,1,scooter,2.0,No,Metropolitian,35,10.271454968582486
20.0,4.5,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,27,10.845889966900735
25.0,4.9,Fog,Jam,0,motorcycle,2.0,No,Metropolitian,43,12.393263757604263
29.0,4.5,Fog,Low,2,scooter,0.0,No,,12,8.927480425054231
32.0,4.7,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,31,6018.501935110026
39.0,4.1,Cloudy,Jam,1,motorcycle,2.0,No,Metropolitian,39,20.397442775188328
31.0,4.4,Stormy,Jam,0,motorcycle,1.0,No,Urban,47,16.635381027246595
37.0,4.5,Fog,Low,0,motorcycle,1.0,No,Urban,26,7.589543265875354
36.0,4.9,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,31,13.172727967926338
37.0,3.8,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,42,20.8325750761678
,,Stormy,Jam,2,scooter,0.0,No,Urban,12,16626.0500160344
38.0,4.9,Cloudy,High,2,scooter,,No,Metropolitian,25,6.219648077690683
37.0,4.4,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,39,11.891277192207589
21.0,4.9,Fog,Low,2,scooter,1.0,No,,21,13.66085535805377
35.0,4.9,Fog,Medium,2,electric_scooter,0.0,No,Metropolitian,18,4.464163123690179
22.0,4.8,Sandstorms,Jam,1,scooter,1.0,No,Urban,22,13.390793718689235
28.0,4.8,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23,3.068202713082747
39.0,4.0,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,48,20.166286848244525
29.0,4.5,Windy,Low,1,scooter,0.0,No,Urban,13,12.39525675915564
39.0,4.6,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,32,3.0986894561589557
25.0,4.9,Sandstorms,Jam,2,electric_scooter,0.0,No,Urban,16,20.166027529984316
34.0,5.0,Cloudy,Medium,2,electric_scooter,0.0,No,Urban,19,4.664610877378366
22.0,4.8,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,18,3.099243404030044
27.0,5.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,27,10.431932813898786
28.0,4.5,Sunny,Medium,0,motorcycle,1.0,No,Urban,25,10.692860419649532
32.0,5.0,Stormy,Medium,2,scooter,1.0,No,Metropolitian,31,4.664846958990213
,,Fog,Jam,2,scooter,1.0,No,Metropolitian,39,16.577783315974713
27.0,4.6,Sunny,Medium,0,motorcycle,0.0,No,Metropolitian,20,10.73767592244511
35.0,3.9,Windy,Jam,1,motorcycle,2.0,No,Metropolitian,38,12.216036309455992
22.0,4.6,Windy,Low,1,motorcycle,1.0,No,Metropolitian,19,4.654346370086994
