Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance (in KM)
39.0,4.6,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,27,9.329348795430038
35.0,4.9,Sunny,Low,1,scooter,,No,Urban,24,10.687692480486225
28.0,4.7,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,23,20.244722777736904
36.0,4.5,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,40,13.37742669109596
20.0,,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,28,4.672083230416403
32.0,4.3,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,32,10.884063165644438
,,Cloudy,Jam,1,motorcycle,0.0,No,Metropolitian,32,9.066598393331804
39.0,4.5,Sandstorms,Low,2,motorcycle,0.0,No,Metropolitian,22,4.4597397640764544
28.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Urban,10,4.6024563042547335
36.0,4.5,Fog,Low,1,scooter,1.0,No,Metropolitian,19,3.01481332471581
21.0,4.9,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,35,10.472552935938493
23.0,4.6,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,30,16.69541088302565
25.0,4.7,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,37,11.968444015819024
27.0,4.7,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,23,13.66073757837138
22.0,4.7,Windy,High,0,motorcycle,0.0,No,Metropolitian,29,3.058411344007262
34.0,4.6,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,25,9.414207472710387
24.0,4.8,Stormy,Low,2,scooter,0.0,No,Urban,11,16.611307423270418
32.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,39,19.8823960800054
30.0,4.4,Stormy,Jam,1,motorcycle,2.0,No,Urban,39,13.764913193722668
26.0,4.6,Sunny,Medium,2,scooter,1.0,No,Metropolitian,18,10.846013590626095
30.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,33,20.140905255245308
31.0,4.8,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,24,7.7462119762407955
31.0,4.8,Fog,Low,1,scooter,1.0,No,Metropolitian,18,1.4884133108377866
39.0,4.8,Cloudy,High,2,scooter,1.0,No,Metropolitian,39,1.5690347154047224
38.0,4.7,Sunny,High,2,scooter,1.0,No,Urban,18,3.054305578415364
30.0,4.9,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,30,4.464417671579878
28.0,4.5,Fog,High,2,scooter,1.0,No,Metropolitian,21,6.135765048576284
30.0,4.9,Fog,Medium,2,scooter,0.0,No,Urban,16,9.106851796519383
37.0,4.1,Sandstorms,High,2,scooter,0.0,No,Metropolitian,32,6.198689098998072
36.0,4.7,Windy,Low,2,scooter,1.0,No,Metropolitian,21,20.166129779840556
20.0,4.9,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,42,12.410725803757424
34.0,4.6,Cloudy,Medium,2,scooter,0.0,No,Urban,17,7.562182477576886
26.0,4.7,Stormy,Low,2,scooter,1.0,No,,17,20.24399554034944
38.0,3.5,Windy,Jam,2,electric_scooter,0.0,No,Urban,41,20.839226755308367
33.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,30,19.631187551423917
37.0,5.0,Windy,Low,0,motorcycle,1.0,No,Urban,28,19.58824065849606
31.0,4.6,Fog,Low,2,motorcycle,1.0,No,Metropolitian,16,4.648400072771237
29.0,4.6,Fog,Jam,2,scooter,0.0,No,Metropolitian,26,4.664633134444104
20.0,4.1,Stormy,Medium,0,motorcycle,1.0,No,Urban,35,20.166027529984316
36.0,5.0,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,17,20.397442775188328
34.0,4.5,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,26,9.29737332587202
28.0,4.6,Fog,High,0,motorcycle,0.0,No,Metropolitian,21,3.114902143774081
31.0,4.4,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,36,10.843721893347185
25.0,5.0,Stormy,High,2,motorcycle,1.0,No,Metropolitian,29,3.1026991431015514
22.0,4.6,Sunny,Medium,1,motorcycle,0.0,No,Urban,13,17.040057337914522
23.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,19,1.541088109239783
37.0,5.0,Sandstorms,High,2,scooter,1.0,No,Urban,28,6.072112658892173
34.0,4.2,Windy,Low,0,motorcycle,1.0,No,Metropolitian,25,3.0679612737287636
36.0,4.8,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,15,13.391515800864783
36.0,5.0,Sandstorms,Jam,2,motorcycle,0.0,No,Metropolitian,32,4.582909874633315
22.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,20,12.2359681215466
28.0,4.5,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,22,19.940782302250373
28.0,4.6,Stormy,Medium,2,electric_scooter,1.0,No,Urban,25,6.071907624965715
50.0,6.0,,,3,scooter,1.0,No,Metropolitian,15,18105.35998488643
28.0,4.6,Sandstorms,Medium,1,scooter,0.0,No,Metropolitian,19,16.366036185588843
38.0,4.8,Windy,Low,2,motorcycle,1.0,No,Urban,24,3.0587679415336226
34.0,4.6,Fog,Jam,0,motorcycle,1.0,No,Urban,30,9.307516354290478
38.0,4.9,Windy,Low,0,motorcycle,1.0,No,Metropolitian,25,13.750484667228939
21.0,4.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,32,16.393167111001326
28.0,4.6,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,11,1.554954794511357
25.0,4.9,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,29,6.276138627413788
39.0,4.6,Sunny,Low,2,motorcycle,1.0,No,Metropolitian,16,20.166286848244525
36.0,3.5,Stormy,Jam,2,scooter,2.0,No,Urban,41,20.397442775188328
23.0,4.8,Sunny,Low,2,scooter,1.0,No,Urban,16,4.554002148202201
,,,,3,scooter,1.0,No,Metropolitian,29,4.464417671579878
20.0,4.2,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,35,13.569537884725447
,,,,3,electric_scooter,0.0,No,Metropolitian,29,6.276138627413788
39.0,4.6,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,27,19.642583975986586
31.0,4.6,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,46,16.822951404385034
36.0,5.0,Fog,Low,2,scooter,1.0,No,Urban,16,9.329319541894728
38.0,4.6,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,22,9.062107572908571
29.0,5.0,Windy,High,0,motorcycle,1.0,No,Metropolitian,22,3.0681777018799767
34.0,4.9,Sunny,Jam,2,electric_scooter,,No,Metropolitian,15,4.464113950945344
32.0,4.8,Fog,Low,1,scooter,0.0,No,Metropolitian,15,3.1380694073889375
33.0,4.8,Cloudy,Low,1,scooter,1.0,No,Urban,19,1.5070945252547612
28.0,4.7,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,17,13.412847257816749
33.0,4.9,Cloudy,Low,1,scooter,1.0,No,Metropolitian,27,19.846780345572135
29.0,5.0,Cloudy,Low,2,scooter,1.0,No,Urban,24,13.943139482101484
20.0,4.6,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,29,4.648445050172354
29.0,4.8,Sunny,Low,1,scooter,,No,Metropolitian,23,3.0985793628085028
22.0,4.8,Stormy,Medium,1,scooter,1.0,No,Urban,15,13.391457989568279
32.0,4.2,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,32,7.439903377482956
39.0,4.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,33,7.5510643695802955
20.0,4.6,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,38,10.983241696284244
27.0,4.6,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,15,10.706184356730288
35.0,4.9,Sandstorms,Low,2,electric_scooter,1.0,No,Metropolitian,22,1.5105048384811497
33.0,5.0,Stormy,Medium,1,scooter,1.0,No,Metropolitian,27,10.5500260879149
30.0,4.7,Fog,Low,2,motorcycle,0.0,No,Urban,16,7.551948584727422
21.0,4.6,Sunny,High,1,motorcycle,0.0,No,Metropolitian,19,3.098929597457547
26.0,4.5,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,17,12.216836816928133
26.0,4.1,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,36,13.41246037752413
,,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,25,4.653886193068267
25.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,16,7.319402787465168
38.0,4.2,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,39,6.071664694616246
38.0,4.7,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,33,7.756699817828701
21.0,4.6,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,17,3.025022500187704
,,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,24,8.782764174378483
22.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,14,16.612285246196404
30.0,4.6,Cloudy,Jam,2,electric_scooter,2.0,No,Metropolitian,38,7.589230819894175
37.0,5.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,29,3.1097793175531723
24.0,4.6,Fog,Medium,2,scooter,0.0,No,Metropolitian,17,6.205591081602371
27.0,4.9,Sunny,Jam,1,motorcycle,0.0,No,Urban,19,4.52158203730614
38.0,4.8,Sunny,Medium,1,scooter,1.0,No,Metropolitian,23,19.939991178012797
34.0,4.4,Stormy,Jam,2,scooter,1.0,No,Urban,31,7.74763816269579
38.0,4.8,Stormy,Medium,1,motorcycle,1.0,No,Metropolitian,28,9.329034857219833
38.0,3.9,Sandstorms,Jam,1,motorcycle,2.0,No,Metropolitian,34,12.410398980987171
22.0,4.8,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,27,20.211660890979633
23.0,4.9,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,23,20.213749305783026
24.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Urban,16,1.5690347154047224
35.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,16,9.16245242046385
21.0,4.8,Sandstorms,Low,2,motorcycle,0.0,No,Urban,13,3.102699426791535
26.0,4.1,Fog,Jam,2,scooter,1.0,No,Metropolitian,36,13.944605804275888
38.0,4.8,Fog,Low,2,electric_scooter,1.0,No,,19,1.5180971067313231
32.0,4.9,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,28,17.041284717657238
28.0,4.7,Fog,Medium,1,motorcycle,0.0,No,Urban,19,4.707104052532131
30.0,4.6,Sandstorms,Low,2,motorcycle,1.0,No,Urban,23,1.510488906470836
39.0,4.6,Cloudy,Jam,2,motorcycle,1.0,Yes,Semi-Urban,47,16.790293751513897
21.0,4.9,Fog,High,0,motorcycle,,No,Metropolitian,20,1.5294048118807104
25.0,4.8,Windy,High,1,motorcycle,1.0,No,Metropolitian,28,5.961649333153064
,,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,16,4683.704489164576
22.0,4.7,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,21,4.664796466065146
25.0,4.4,Fog,Jam,1,motorcycle,1.0,Yes,Metropolitian,44,13.765276602164576
25.0,4.6,Fog,Medium,2,electric_scooter,0.0,No,Metropolitian,10,9.203577068453198
37.0,4.4,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,39,20.21226394004648
33.0,4.9,Sunny,High,0,motorcycle,0.0,No,Metropolitian,26,3.036149919627032
33.0,4.2,Cloudy,Medium,1,scooter,2.0,No,Urban,42,12.235876974099277
33.0,4.7,Sunny,Low,1,scooter,0.0,No,Urban,12,7.746455707767519
32.0,4.6,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,38,20.397442775188328
27.0,4.0,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,18,1.5124934070328935
38.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,30,7.845173108613388
30.0,4.6,Sunny,Low,2,scooter,1.0,No,Metropolitian,25,14.121309628180253
28.0,4.1,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,32,11.737923768988582
30.0,4.9,Sunny,Medium,2,scooter,1.0,No,Metropolitian,22,19.730165083396134
23.0,4.6,Fog,Low,1,motorcycle,1.0,No,Metropolitian,14,3.1380694073889375
31.0,4.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,23,1.5295340177411298
20.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,32,10.69100092566136
32.0,4.2,Fog,Jam,1,motorcycle,0.0,No,Metropolitian,39,4.521740183910015
21.0,4.8,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,16,12.438457015456049
34.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,27,10.625600819309252
20.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Urban,25,9.163186792917154
,,,,0,motorcycle,1.0,No,Metropolitian,25,17135.57127515125
31.0,4.9,Sandstorms,Jam,0,motorcycle,1.0,No,Semi-Urban,46,7.6701455587956096
20.0,4.8,Sandstorms,Low,1,motorcycle,0.0,No,,14,20.141516380852213
29.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Urban,28,16.87262327851572
23.0,3.8,Sunny,Jam,0,motorcycle,2.0,Yes,Metropolitian,41,7.747334644263657
39.0,4.5,Sunny,Low,1,scooter,1.0,No,Urban,24,19.883303108924473
27.0,4.6,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,17,1.529664921805109
33.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,29,12.396741317977128
24.0,4.8,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,11,3.0986894979955277
21.0,4.3,Sandstorms,Jam,0,motorcycle,1.0,No,Urban,38,4.521745903545661
35.0,4.3,Sandstorms,High,0,motorcycle,1.0,No,Metropolitian,43,1.5690347154047224
32.0,4.6,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,30,14.01599600695538
26.0,4.2,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,35,13.659636883890228
23.0,4.9,Sandstorms,Jam,1,motorcycle,0.0,No,Metropolitian,25,19.730956081865795
38.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,20,7.747850339383857
39.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,20,3.054227396353117
28.0,4.6,Fog,Low,1,motorcycle,0.0,No,Metropolitian,25,13.806237934463724
37.0,4.6,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,19,9.164099415262326
26.0,4.9,Cloudy,High,2,electric_scooter,1.0,No,Metropolitian,31,1.5495114643800798
26.0,4.7,Cloudy,High,1,scooter,1.0,No,Metropolitian,33,6.1364990696195605
28.0,4.7,Stormy,Jam,2,scooter,1.0,No,Metropolitian,18,9.043032648409891
23.0,4.8,Windy,Low,0,motorcycle,1.0,No,Metropolitian,18,20.211618399305323
29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,,27,3.0537978384131423
38.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,28,7.551392642751796
21.0,4.7,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,16,6.040951297577269
20.0,4.8,Stormy,Jam,1,scooter,0.0,No,Metropolitian,25,13.593979183831362
25.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,20,3.099023850433492
28.0,4.9,Sunny,Low,2,scooter,0.0,No,Urban,19,1.5690347154047224
22.0,4.7,Windy,Medium,1,scooter,1.0,No,Urban,28,10.69023490025587
32.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,16,1.5272542689629798
31.0,5.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,36,10.706335399814037
30.0,4.8,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,23,7.747297860639233
26.0,4.6,Fog,Medium,1,scooter,1.0,No,Metropolitian,25,10.571398631736798
32.0,4.2,Cloudy,Jam,1,scooter,0.0,No,Metropolitian,40,19.844234597378584
22.0,5.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,19,10.573443732569277
23.0,4.5,Sunny,Medium,1,scooter,0.0,No,Urban,11,12.410449792093456
30.0,5.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,20,12.272409898050832
27.0,5.0,Fog,Low,1,scooter,1.0,No,Metropolitian,13,4.66463214926593
27.0,4.8,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,41,12.054608307353126
38.0,4.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,41,12.33495906726225
37.0,4.6,Sunny,Jam,1,scooter,1.0,No,Metropolitian,22,9.296430766542302
30.0,4.9,Fog,Low,2,scooter,0.0,No,Metropolitian,30,19.630777254614774
22.0,5.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,17,9.204006069212316
34.0,5.0,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,39,16.612508107851173
33.0,4.7,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,25,1.486423469108537
25.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,14,1.5549575617693234
36.0,4.8,Fog,Medium,1,motorcycle,1.0,No,Urban,35,16.69459502669699
35.0,4.3,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,33,9.107658657262554
29.0,5.0,Fog,Medium,2,scooter,0.0,No,Urban,12,6.071909216478056
24.0,4.5,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,13,1.5125407936966182
21.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,35,12.08162934703439
20.0,5.0,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,42,17.042862519365674
21.0,4.5,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,23,1.5269419161565756
22.0,4.5,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,29,7.536019458518527
21.0,4.9,Sandstorms,Low,1,scooter,1.0,No,,19,10.844094035055107
21.0,4.7,Stormy,Low,2,scooter,1.0,No,Metropolitian,13,3.082617988429335
21.0,4.2,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,31,20.828113819012323
37.0,4.5,Fog,Medium,2,scooter,1.0,No,Urban,17,5.952035110828275
21.0,4.7,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,23,12.410204358275573
,,Windy,Low,1,motorcycle,1.0,No,Urban,21,3.068104207674353
35.0,4.7,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,47,10.884860872661774
20.0,4.8,Cloudy,Low,0,motorcycle,0.0,No,Urban,21,3.099144510515509
31.0,4.9,Sandstorms,Jam,0,motorcycle,0.0,No,Urban,33,4.623671086900219
22.0,4.6,Sunny,Jam,2,scooter,1.0,No,Metropolitian,17,7.845173108613388
,,Cloudy,High,2,scooter,1.0,No,Metropolitian,23,6.028971433810881
37.0,4.8,Fog,Low,1,scooter,0.0,No,Metropolitian,17,1.5340717607689194
27.0,4.9,Fog,Medium,1,scooter,0.0,No,Urban,18,7.6691306579248995
,,Stormy,Jam,2,scooter,0.0,No,Urban,34,9.06218615243449
31.0,4.8,Sandstorms,Jam,1,motorcycle,0.0,No,Metropolitian,30,4.587554339065332
22.0,4.9,Sunny,Low,1,scooter,0.0,No,Metropolitian,18,4.5538529705030415
25.0,5.0,Fog,Low,0,motorcycle,1.0,No,Urban,23,10.846831683112223
26.0,4.9,Cloudy,Medium,1,motorcycle,0.0,No,Metropolitian,16,4.601882860108752
20.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Urban,17,1.527154370684199
27.0,4.1,Cloudy,Medium,1,motorcycle,0.0,No,Metropolitian,31,12.216194933465744
36.0,4.0,Stormy,Low,0,motorcycle,0.0,No,,23,1.554902837646469
29.0,4.6,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,17,4.588766117367849
33.0,4.9,Fog,Low,1,scooter,1.0,No,Metropolitian,17,7.5900214384297335
32.0,4.3,Cloudy,Jam,1,scooter,0.0,No,Metropolitian,33,8.928237201172186
27.0,4.5,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,46,16.823086316712892
38.0,4.8,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,40,14.121309628180253
34.0,4.8,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,40,12.392594903406293
29.0,4.7,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,19,13.86826108440451
28.0,4.9,Sunny,High,2,motorcycle,0.0,No,Urban,12,6.229150497453029
32.0,4.3,Stormy,Jam,0,motorcycle,0.0,No,Urban,39,12.394039281844009
22.0,4.7,Sunny,Low,0,motorcycle,0.0,,Metropolitian,10,4.648810932454234
37.0,4.9,Sunny,Low,2,electric_scooter,1.0,No,Metropolitian,29,11.902924672837507
29.0,4.6,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,22,3.0537978384131423
39.0,4.6,Sandstorms,Medium,1,motorcycle,1.0,No,Metropolitian,30,17.259376716936664
36.0,3.8,Windy,Jam,2,scooter,1.0,No,Metropolitian,37,11.903288478122649
37.0,4.7,Cloudy,Low,2,scooter,,No,Urban,15,7.845173108613388
32.0,4.8,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,29,4.707104052532131
34.0,4.1,Stormy,Medium,2,motorcycle,2.0,No,Urban,34,13.766038615058545
24.0,4.5,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,21,10.687541344886148
33.0,4.6,Fog,Jam,0,motorcycle,1.0,No,Urban,29,4.647699043596936
35.0,3.9,Windy,Jam,1,motorcycle,2.0,No,Metropolitian,38,12.216036309455992
31.0,4.8,Stormy,Low,1,scooter,0.0,No,Metropolitian,28,20.212199139843758
39.0,4.5,Windy,Medium,2,scooter,1.0,No,Metropolitian,27,4.664788911693181
21.0,4.9,Sunny,Jam,1,motorcycle,1.0,No,Urban,18,13.961570821957572
30.0,4.4,Stormy,Medium,1,scooter,2.0,No,Metropolitian,39,17.259376716936664
36.0,4.6,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,25,7.536105682491125
30.0,4.8,Windy,Low,2,scooter,0.0,No,Metropolitian,23,9.247384045507934
27.0,5.0,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,39,13.740932234405253
22.0,5.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,35,9.29651010180637
30.0,4.4,Stormy,High,2,scooter,1.0,No,Metropolitian,32,5.953388781270795
31.0,4.7,Cloudy,High,2,motorcycle,1.0,No,Urban,27,1.5496181081271545
27.0,4.9,Windy,Medium,2,electric_scooter,1.0,No,Metropolitian,24,10.625009378984018
37.0,4.8,Sandstorms,Low,1,scooter,0.0,No,Metropolitian,22,4.464152609112947
30.0,4.9,Sunny,Jam,2,motorcycle,0.0,No,Metropolitian,29,20.137065622347322
35.0,4.2,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,33,16.635254743950217
20.0,4.5,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,21,9.107658825826476
28.0,5.0,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,41,16.365329549035206
36.0,5.0,Windy,Medium,2,scooter,1.0,No,Metropolitian,34,4.521503515521098
27.0,4.5,Fog,Low,1,motorcycle,0.0,No,Metropolitian,15,1.551396699364718
23.0,4.7,Fog,Jam,2,motorcycle,0.0,No,,22,9.142699227183106
24.0,4.6,Sunny,Low,2,scooter,1.0,No,Metropolitian,28,12.057293898875512
31.0,4.7,Sunny,Medium,0,motorcycle,1.0,No,Urban,23,6.136214313764269
27.0,4.5,Windy,Low,2,scooter,1.0,No,Urban,11,1.529407991186537
22.0,4.7,Stormy,Medium,2,electric_scooter,1.0,No,Metropolitian,22,12.216036309455992
28.0,5.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,32,17.04433635466002
39.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,15,16.823882005734124
25.0,4.6,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,26,7.669593796336562
25.0,4.9,Sunny,Jam,0,motorcycle,1.0,No,Urban,30,14.121309628180253
23.0,4.7,Sandstorms,Low,2,scooter,0.0,No,Urban,19,3.059218998881136
,,Stormy,Jam,0,motorcycle,0.0,No,Metropolitian,52,19.882241811751964
32.0,4.8,Stormy,Low,2,electric_scooter,1.0,No,,21,7.774520987326119
33.0,4.6,Cloudy,Jam,2,motorcycle,0.0,No,Metropolitian,27,7.67031950513088
